DateTime,Disp,K1:VIS-MCE_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_CRS_INMON.std
2021-04-13 15:03:35.341150,8.8,-9197.211,19.213,-7914.523,17.170,-73.979,0.554,-74.129,0.409,-0.983,0.000,0.074,0.002,17259.840,2.739,-1282.539,36.304
2021-04-13 15:04:13.775006,8.9,-9279.500,32.720,-7826.971,32.788,-80.194,0.470,-80.808,0.285,-0.981,0.000,0.084,0.004,17267.473,2.283,-1451.914,65.667
2021-04-13 15:04:39.471579,9.0,-9171.186,58.833,-7918.360,57.923,-89.164,0.805,-86.856,0.555,-0.980,0.000,0.072,0.007,17265.566,2.722,-1255.132,116.021
2021-04-13 15:05:13.655842,9.1,-9254.871,34.142,-7809.319,33.225,-103.943,0.460,-93.646,0.601,-0.977,0.000,0.083,0.004,17261.779,2.789,-1455.849,67.011
2021-04-13 15:05:35.945207,9.2,-9322.982,39.373,-7697.096,38.849,-125.037,0.470,-109.040,0.581,-0.973,0.000,0.093,0.005,17254.156,1.496,-1641.883,78.072
2021-04-13 15:05:57.117293,9.3,-9327.264,61.127,-7593.087,60.230,-168.806,0.751,-159.761,0.966,-0.962,0.000,0.100,0.007,17248.918,2.230,-1743.223,120.219
2021-04-13 15:06:03.419967,9.3,-9360.922,44.365,-7554.997,45.056,-167.778,0.547,-158.830,0.964,-0.962,0.000,0.104,0.005,17242.527,2.729,-1814.873,88.737
2021-04-13 15:06:27.903882,9.4,-9164.521,18.987,-7430.778,20.272,-271.063,0.732,-352.995,1.283,-0.928,0.000,0.105,0.002,17219.357,2.082,-1651.811,38.056
2021-04-13 15:06:50.647264,9.5,-8758.508,10.377,-6960.336,7.615,-528.747,1.891,-925.439,2.836,-0.831,0.001,0.128,0.001,17173.031,1.889,-1401.481,17.409
2021-04-13 15:07:11.866444,9.6,-7442.813,11.607,-6343.300,7.044,-1213.248,4.344,-2074.602,3.180,-0.615,0.001,0.115,0.001,17073.965,2.148,-238.160,15.273
2021-04-13 15:07:30.924086,9.7,-5578.131,14.411,-4868.586,18.027,-2560.656,8.345,-3979.039,12.546,-0.230,0.001,0.125,0.003,16986.410,2.550,708.838,12.388
2021-04-13 15:07:51.442991,9.8,-3433.833,5.312,-2979.306,9.126,-4269.412,5.542,-6314.489,12.780,0.245,0.002,0.147,0.001,16997.039,1.999,1590.551,7.919
2021-04-13 15:08:24.479449,9.9,-1704.889,7.066,-1525.378,3.530,-5763.689,16.952,-8084.726,11.239,0.622,0.001,0.146,0.002,17078.684,1.809,2141.527,21.318
2021-04-13 15:08:48.270180,10.0,-796.084,2.981,-707.839,5.407,-6681.148,19.498,-8970.897,25.723,0.825,0.001,0.139,0.003,17155.969,3.236,2201.504,41.799
2021-04-13 15:09:07.491220,10.1,-399.163,1.194,-324.562,1.673,-7045.062,22.513,-9434.063,23.340,0.916,0.000,0.143,0.003,17202.848,2.529,2314.401,44.893
2021-04-13 15:09:26.564767,10.2,-192.239,0.554,-154.489,0.437,-6974.317,26.139,-9891.648,25.052,0.960,0.000,0.172,0.003,17212.695,3.173,2879.580,50.895
2021-04-13 15:09:46.558067,10.3,-115.765,0.599,-104.288,0.415,-7004.718,23.985,-9960.736,24.319,0.974,0.000,0.173,0.003,17185.508,2.210,2944.541,48.207
2021-04-13 15:10:05.925838,10.4,-98.020,0.407,-92.328,0.396,-6941.150,22.867,-10041.978,22.145,0.978,0.000,0.181,0.003,17173.477,3.250,3095.135,44.916
2021-04-13 15:10:26.870515,10.5,-89.817,0.595,-83.877,0.329,-6801.006,22.409,-10207.131,21.088,0.980,0.000,0.199,0.003,17181.832,2.122,3400.186,43.341
2021-04-13 15:10:44.230381,10.6,-82.989,0.540,-76.764,0.473,-6934.692,44.038,-10098.696,45.426,0.981,0.000,0.184,0.005,17193.141,2.515,3157.779,89.097
2021-04-13 15:11:01.563523,10.7,-74.880,0.512,-66.620,0.398,-6866.132,8.440,-10206.486,7.637,0.984,0.000,0.195,0.001,17214.117,2.928,3332.093,15.732
2021-04-13 15:11:20.265413,10.8,-68.746,0.549,-60.958,0.473,-6800.400,11.994,-10298.124,12.655,0.985,0.000,0.203,0.001,17228.229,2.426,3489.936,24.239
