DateTime,Disp,K1:VIS-MCE_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_CRS_INMON.std
2021-04-13 14:46:37.337623,,-2810.118,10.283,-3731.678,21.605,-5372.703,14.627,-5093.651,23.865,0.231,0.003,-0.071,0.003,17008.150,1.675,642.508,10.826
2021-04-13 14:50:21.803618,4.1,-7068.745,18.078,-58.606,0.593,-73.827,0.534,-10080.993,17.661,0.175,0.002,0.985,0.000,17282.172,2.409,2997.026,36.113
2021-04-13 14:51:10.932448,4.2,-7028.133,18.115,-61.788,0.445,-81.033,0.477,-10108.760,19.500,0.179,0.002,0.983,0.000,17279.715,2.753,3061.382,37.596
2021-04-13 14:51:30.975451,4.3,-7047.927,16.395,-66.640,0.650,-86.774,0.359,-10066.160,16.349,0.176,0.002,0.982,0.000,17267.502,2.914,2998.098,32.559
2021-04-13 14:51:53.009580,4.4,-6965.902,22.371,-73.008,0.601,-94.025,0.522,-10105.455,22.630,0.183,0.003,0.981,0.000,17238.391,2.042,3118.535,44.621
2021-04-13 14:52:18.768115,4.5,-7028.063,16.515,-81.950,0.659,-101.862,0.461,-9973.430,16.914,0.173,0.002,0.979,0.000,17185.305,1.931,2925.455,33.269
2021-04-13 14:52:43.645459,4.6,-6901.091,10.343,-92.902,0.569,-112.719,0.399,-10041.027,10.148,0.184,0.001,0.976,0.000,17147.740,2.370,3120.120,20.140
2021-04-13 14:53:04.025938,4.7,-6904.572,28.821,-117.194,0.825,-130.580,0.534,-10013.750,29.882,0.182,0.003,0.971,0.000,17166.096,1.669,3095.792,58.371
2021-04-13 14:53:27.234522,4.8,-6675.905,7.974,-219.146,0.996,-215.036,0.982,-10077.350,7.608,0.198,0.001,0.949,0.000,17187.436,2.371,3405.555,14.855
2021-04-13 14:53:47.951353,4.9,-6205.155,17.089,-619.647,5.626,-629.233,5.973,-9694.832,21.089,0.204,0.002,0.854,0.001,17148.867,1.567,3480.090,34.452
2021-04-13 14:54:22.880492,5.0,-5185.835,10.956,-1540.012,12.034,-1822.660,10.877,-8506.482,24.117,0.211,0.002,0.606,0.003,17054.990,2.231,3037.999,25.296
