DateTime,Disp,K1:VIS-MCI_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_CRS_INMON.std
2021-04-12 16:34:58.338896,7.4,-4754.510,2.505,-4625.025,2.719,-76.072,0.381,-70.485,0.424,-0.969,0.000,0.013,0.000,9526.093,2.456,-135.071,4.730
2021-04-12 16:35:25.715979,7.5,-4778.826,5.684,-4575.127,4.940,-85.494,0.484,-83.321,0.320,-0.965,0.000,0.021,0.001,9522.769,2.564,-205.872,10.392
2021-04-12 16:35:36.708506,7.6,-4755.022,6.071,-4552.720,4.734,-104.306,0.567,-106.250,0.498,-0.956,0.000,0.021,0.001,9518.297,2.348,-200.358,10.733
2021-04-12 16:35:48.615248,7.7,-4686.470,3.842,-4538.374,4.462,-138.601,0.526,-149.477,0.540,-0.939,0.000,0.017,0.001,9512.922,2.279,-137.220,8.118
2021-04-12 16:36:01.887032,7.8,-4647.523,4.502,-4447.757,4.485,-193.193,0.646,-217.902,0.685,-0.914,0.000,0.024,0.001,9506.377,2.225,-175.058,8.596
2021-04-12 16:36:17.554362,7.9,-4557.746,9.013,-4272.297,9.045,-306.879,1.453,-363.949,0.870,-0.859,0.000,0.036,0.002,9500.871,2.200,-228.379,16.670
2021-04-12 16:36:30.326813,8.0,-4264.779,14.052,-4161.034,13.208,-492.815,1.698,-573.299,1.839,-0.775,0.000,0.019,0.003,9491.927,2.300,-23.261,23.941
2021-04-12 16:36:43.754294,8.1,-4015.854,3.798,-3834.847,3.555,-745.111,1.799,-880.646,1.968,-0.657,0.001,0.033,0.001,9476.458,2.586,-45.473,5.426
2021-04-12 16:36:56.098875,8.2,-3583.235,1.519,-3509.308,1.670,-1098.562,1.035,-1272.478,1.114,-0.499,0.000,0.026,0.000,9463.583,1.874,99.988,1.922
2021-04-12 16:37:08.388719,8.3,-3115.250,8.335,-3053.187,4.817,-1515.528,4.920,-1769.590,2.957,-0.305,0.001,0.033,0.002,9453.555,1.890,191.999,6.581
2021-04-12 16:37:22.376802,8.4,-2571.836,3.088,-2572.253,6.173,-1989.737,2.443,-2318.821,4.895,-0.088,0.001,0.035,0.002,9452.648,1.835,329.500,1.783
2021-04-12 16:37:52.803270,8.5,-1982.320,3.031,-2016.480,2.134,-2514.089,3.228,-2932.060,2.785,0.153,0.001,0.041,0.001,9444.950,2.078,452.131,1.760
2021-04-12 16:38:04.669111,8.6,-1463.636,0.866,-1479.499,1.396,-2978.873,1.456,-3523.048,2.901,0.377,0.000,0.056,0.001,9445.056,1.534,560.037,2.516
2021-04-12 16:38:16.253092,8.7,-1020.553,2.166,-1071.623,1.014,-3458.908,5.051,-3912.151,2.662,0.558,0.001,0.042,0.001,9463.235,2.054,504.312,5.505
2021-04-12 16:38:27.611522,8.8,-696.166,1.119,-708.945,1.158,-3738.668,4.478,-4330.539,3.707,0.703,0.000,0.061,0.001,9474.318,1.852,604.651,6.610
2021-04-12 16:39:39.460237,8.9,-446.411,0.852,-457.452,1.625,-3992.734,8.649,-4590.361,8.578,0.809,0.000,0.062,0.002,9486.960,2.865,608.668,15.298
2021-04-12 16:39:52.382920,9.0,-273.238,0.743,-286.614,0.584,-4214.803,2.425,-4720.066,1.417,0.882,0.000,0.052,0.000,9494.720,1.520,518.639,3.537
2021-04-12 16:40:05.106285,9.1,-169.408,0.583,-175.016,0.894,-4309.609,16.083,-4849.789,16.606,0.928,0.000,0.056,0.004,9503.822,2.400,545.787,31.790
2021-04-12 16:40:20.467554,9.2,-111.278,0.667,-112.429,0.568,-4369.761,2.995,-4914.597,3.478,0.953,0.000,0.057,0.001,9508.064,1.389,545.988,6.541
2021-04-12 16:40:33.443606,9.3,-81.137,0.515,-80.164,0.459,-4407.281,7.899,-4949.001,8.142,0.966,0.000,0.057,0.002,9517.584,1.110,540.747,15.522
2021-04-12 16:40:45.811504,9.4,-67.936,0.331,-66.892,0.488,-4406.111,5.292,-4989.765,4.523,0.972,0.000,0.061,0.001,9530.704,2.239,582.610,9.474
