DateTime,Disp,K1:VIS-MCI_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCI_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCI_TM_OPLEV_TILT_CRS_INMON.std
2021-04-12 16:25:14.335729,1.2,-2433.146,3.337,-2433.109,2.477,-2103.413,3.023,-2467.004,2.499,-0.031,0.001,0.039,0.001,9436.672,1.598,363.554,0.923
2021-04-12 16:26:18.670172,1.3,-1919.446,5.129,-2960.708,8.577,-2571.349,5.556,-1990.065,6.649,-0.034,0.001,-0.172,0.003,9441.566,2.806,459.978,2.308
2021-04-12 16:26:39.467953,1.4,-1429.285,3.292,-3421.775,12.787,-3054.787,9.612,-1534.802,6.818,-0.028,0.003,-0.372,0.001,9440.650,2.090,472.504,13.118
2021-04-12 16:26:57.227686,1.5,-1042.745,1.550,-3794.547,3.013,-3472.220,2.987,-1139.494,1.300,-0.024,0.001,-0.538,0.000,9449.006,1.866,419.075,4.355
2021-04-12 16:27:13.721704,1.6,-730.008,1.075,-4113.632,2.559,-3820.290,3.046,-800.097,1.463,-0.024,0.001,-0.677,0.000,9464.027,2.059,363.432,4.509
2021-04-12 16:27:29.884328,1.7,-492.424,0.827,-4329.600,5.160,-4099.654,6.024,-555.403,1.212,-0.018,0.001,-0.779,0.000,9477.081,2.573,292.926,9.750
2021-04-12 16:27:45.439073,1.8,-317.091,0.581,-4482.090,3.827,-4315.738,3.168,-369.873,0.713,-0.012,0.001,-0.855,0.000,9484.791,2.449,219.134,5.997
2021-04-12 16:28:01.106992,1.9,-208.808,0.655,-4560.334,4.632,-4477.669,3.518,-250.200,0.643,-0.004,0.001,-0.903,0.000,9497.012,1.827,124.056,7.939
2021-04-12 16:28:19.455824,2.0,-140.337,0.688,-4647.652,2.168,-4545.583,2.942,-167.712,0.646,-0.008,0.001,-0.935,0.000,9501.285,1.591,129.444,4.557
2021-04-12 16:28:37.430478,2.1,-100.335,0.462,-4659.951,3.927,-4627.535,3.629,-116.276,0.467,-0.002,0.001,-0.954,0.000,9504.098,2.447,48.358,7.309
2021-04-12 16:28:52.437129,2.2,-77.330,0.482,-4692.141,2.786,-4655.122,3.371,-85.048,0.382,-0.003,0.001,-0.966,0.000,9509.641,2.187,44.738,5.926
2021-04-12 16:29:57.876918,1.1,-2986.104,6.638,-1953.588,2.194,-1633.040,4.268,-2874.279,3.304,-0.046,0.001,0.241,0.001,9447.012,1.383,208.723,4.432
2021-04-12 16:30:09.906622,1.0,-3523.615,2.825,-1435.275,2.721,-1188.892,1.549,-3310.298,3.914,-0.049,0.001,0.445,0.001,9458.080,1.963,33.066,3.408
2021-04-12 16:30:23.784573,0.9,-3912.130,6.742,-1049.673,1.995,-865.930,3.307,-3646.668,3.578,-0.047,0.001,0.596,0.001,9474.400,1.777,-81.719,8.197
2021-04-12 16:30:36.502075,0.8,-4235.656,9.206,-723.073,2.032,-595.160,2.760,-3925.907,4.007,-0.046,0.001,0.722,0.001,9479.795,1.944,-181.836,11.748
2021-04-12 16:30:48.490235,0.7,-4514.827,2.695,-483.205,0.941,-395.880,0.985,-4101.985,2.206,-0.053,0.000,0.815,0.000,9495.896,2.507,-325.517,4.353
2021-04-12 16:31:00.910743,0.6,-4667.252,4.056,-320.185,0.955,-264.063,0.719,-4251.325,3.499,-0.050,0.001,0.877,0.000,9502.824,1.910,-359.805,6.683
2021-04-12 16:31:13.909137,0.5,-4816.893,3.010,-202.588,0.766,-174.265,0.638,-4324.237,2.986,-0.055,0.001,0.921,0.000,9517.983,1.963,-464.333,5.704
2021-04-12 16:31:27.510481,0.4,-4911.537,4.208,-138.650,0.396,-124.854,0.516,-4345.754,4.701,-0.061,0.001,0.945,0.000,9520.794,2.827,-551.986,8.636
2021-04-12 16:31:40.592573,0.3,-4952.986,4.861,-100.190,0.413,-98.461,0.560,-4374.294,3.516,-0.061,0.001,0.958,0.000,9525.932,2.167,-576.963,8.395
2021-04-12 16:31:56.779815,0.2,-4987.871,3.762,-76.905,0.649,-79.175,0.616,-4382.513,3.989,-0.063,0.001,0.967,0.000,9526.463,2.016,-607.629,7.678
