DateTime,Disp,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.std
2021-04-15 16:58:37.338344,1.8,-5919.273,15.148,-6148.241,14.485,-199.099,0.819,-195.378,0.653,-0.937,0.000,-0.019,0.002,12461.992,1.456,225.247,29.042
2021-04-15 16:58:57.871960,1.9,-5815.190,19.421,-6124.319,19.707,-264.243,1.972,-251.593,1.623,-0.917,0.001,-0.026,0.003,12455.345,1.305,296.478,38.157
2021-04-15 16:59:09.878188,2.0,-5768.011,25.429,-5968.839,23.074,-369.875,2.625,-344.197,1.897,-0.885,0.001,-0.018,0.004,12450.922,1.981,175.151,45.955
2021-04-15 16:59:22.055672,2.1,-5608.341,5.984,-5851.311,5.262,-513.922,1.539,-465.371,1.178,-0.843,0.000,-0.023,0.001,12438.944,1.065,194.419,10.409
2021-04-15 16:59:35.153317,2.2,-5481.585,9.819,-5591.665,8.607,-700.428,3.890,-658.084,3.378,-0.781,0.001,-0.012,0.002,12431.763,1.266,67.735,15.312
2021-04-15 16:59:48.761753,2.3,-5246.089,22.339,-5359.496,20.000,-923.455,5.850,-889.890,4.067,-0.708,0.001,-0.012,0.004,12418.930,1.196,79.842,35.373
2021-04-15 17:00:01.536455,2.4,-5001.300,11.042,-4978.537,12.429,-1210.700,5.026,-1214.991,6.234,-0.609,0.002,0.002,0.002,12405.528,1.203,-18.472,16.645
2021-04-15 17:00:14.569519,2.5,-4573.975,12.010,-4637.890,14.642,-1594.610,9.026,-1583.564,10.385,-0.487,0.003,-0.006,0.002,12390.039,1.094,52.870,13.373
2021-04-15 17:00:26.899086,2.6,-4114.213,7.633,-4159.739,8.537,-2054.633,6.393,-2051.307,7.595,-0.337,0.002,-0.004,0.001,12379.893,1.604,42.200,5.083
2021-04-15 17:00:40.068534,2.7,-3606.663,10.815,-3637.094,16.219,-2552.374,7.742,-2577.743,13.173,-0.171,0.002,-0.000,0.003,12373.875,0.998,55.800,7.183
2021-04-15 17:00:52.743278,2.8,-3117.083,18.194,-3100.707,13.614,-3033.051,17.836,-3117.368,14.437,-0.005,0.005,0.008,0.003,12368.209,1.269,67.942,2.200
2021-04-15 17:01:14.756849,2.9,-2589.987,4.906,-2561.509,10.534,-3563.333,8.601,-3655.245,13.793,0.167,0.001,0.010,0.003,12370.074,1.282,63.435,7.137
2021-04-15 17:01:27.369935,3.0,-2082.982,9.262,-2052.621,6.851,-4054.778,11.286,-4185.416,8.932,0.332,0.002,0.013,0.002,12375.799,1.381,100.277,7.184
2021-04-15 17:01:39.266014,3.1,-1634.018,4.709,-1618.117,4.304,-4467.781,7.519,-4662.438,8.049,0.475,0.001,0.017,0.001,12382.355,1.493,178.756,8.860
2021-04-15 17:01:52.637018,3.2,-1237.379,3.836,-1243.881,3.707,-4776.552,11.050,-5134.295,11.616,0.600,0.001,0.028,0.002,12392.107,1.488,364.246,17.000
2021-04-15 17:02:06.518581,3.3,-903.119,3.463,-946.499,3.095,-5088.062,5.896,-5467.470,6.080,0.702,0.001,0.027,0.001,12405.149,1.229,422.789,8.467
2021-04-15 17:02:23.141564,3.4,-626.416,1.761,-701.203,1.664,-5297.993,8.978,-5794.183,8.946,0.786,0.000,0.034,0.002,12419.794,1.297,570.976,15.868
2021-04-15 17:02:37.185208,3.5,-435.734,2.251,-519.418,2.184,-5489.124,10.221,-5986.404,10.735,0.846,0.001,0.033,0.002,12430.680,1.379,580.963,19.075
2021-04-15 17:02:50.104394,3.6,-296.038,1.354,-370.376,1.161,-5618.417,8.841,-6156.722,8.095,0.893,0.000,0.037,0.001,12441.555,1.416,612.643,15.939
2021-04-15 17:03:02.436760,3.7,-207.237,0.864,-266.587,0.825,-5727.039,6.309,-6246.122,6.956,0.924,0.000,0.037,0.001,12446.986,1.364,578.433,12.758
2021-04-15 17:03:15.127576,3.8,-145.910,0.691,-200.165,0.744,-5754.485,10.902,-6353.068,10.994,0.944,0.000,0.044,0.002,12453.629,0.992,652.837,21.502
