DateTime,Disp,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.std
2021-04-15 17:06:34.340752,4.9,-6334.698,7.503,-302.698,1.814,-243.177,1.601,-5567.783,6.905,-0.066,0.001,0.912,0.001,12448.355,1.147,-707.394,13.569
2021-04-15 17:06:47.623219,5.0,-6229.676,9.875,-394.485,1.495,-327.009,1.033,-5491.354,10.810,-0.065,0.002,0.884,0.000,12442.523,1.319,-670.846,19.721
2021-04-15 17:06:59.862208,5.1,-6062.772,11.595,-520.734,6.010,-436.850,4.917,-5415.675,13.058,-0.059,0.002,0.846,0.002,12436.031,1.893,-563.214,20.131
2021-04-15 17:07:09.050201,5.2,-5878.055,8.533,-674.380,2.742,-570.313,2.656,-5302.611,8.499,-0.055,0.001,0.800,0.001,12425.359,1.137,-471.376,14.856
2021-04-15 17:07:18.000122,5.3,-5629.023,9.683,-915.917,2.946,-781.394,2.132,-5086.675,11.003,-0.055,0.002,0.727,0.001,12413.010,1.001,-407.825,17.567
2021-04-15 17:07:28.184497,5.4,-5337.397,10.931,-1171.176,2.729,-1030.950,3.275,-4862.597,9.408,-0.050,0.002,0.645,0.001,12402.119,0.895,-334.575,16.426
2021-04-15 17:07:38.368203,5.5,-4987.765,15.215,-1483.050,5.786,-1319.034,6.813,-4600.810,11.678,-0.044,0.002,0.548,0.002,12390.659,1.521,-222.939,18.577
2021-04-15 17:07:47.953851,5.6,-4605.565,10.329,-1845.212,4.722,-1651.253,5.682,-4277.412,8.282,-0.042,0.002,0.435,0.001,12379.441,0.965,-134.193,11.066
2021-04-15 17:07:57.049619,5.7,-4139.997,11.629,-2261.031,3.526,-2075.372,7.525,-3897.733,6.742,-0.035,0.002,0.299,0.001,12374.133,1.241,-56.606,8.843
2021-04-15 17:08:06.531439,5.8,-3654.214,8.128,-2719.775,5.421,-2537.246,6.033,-3459.394,6.745,-0.031,0.002,0.150,0.001,12370.629,0.882,-12.291,4.428
2021-04-15 17:08:15.788703,5.9,-3178.000,10.447,-3147.079,7.192,-2974.453,9.897,-3068.509,7.256,-0.023,0.002,0.010,0.001,12368.041,1.177,63.135,1.116
2021-04-15 17:09:07.801385,6.0,-2650.962,6.377,-3666.261,5.400,-3478.206,6.771,-2574.364,4.638,-0.021,0.001,-0.155,0.001,12369.792,1.456,111.456,2.511
2021-04-15 17:09:17.125041,6.1,-2209.163,4.917,-4095.406,6.989,-3910.590,7.302,-2160.728,4.333,-0.019,0.002,-0.294,0.001,12375.886,1.336,136.381,5.944
2021-04-15 17:09:26.736808,6.2,-1764.942,7.041,-4517.165,9.708,-4355.001,10.592,-1745.999,6.100,-0.015,0.002,-0.433,0.002,12383.107,1.231,143.220,9.757
2021-04-15 17:09:36.582776,6.3,-1414.106,3.376,-4846.506,7.155,-4716.912,7.635,-1417.280,3.062,-0.010,0.001,-0.543,0.001,12394.805,1.114,132.769,9.977
2021-04-15 17:09:45.719244,6.4,-1047.731,3.263,-5182.125,9.067,-5094.607,9.440,-1080.224,3.093,-0.004,0.002,-0.657,0.001,12404.688,1.340,120.010,14.554
2021-04-15 17:09:54.677457,6.5,-782.344,4.127,-5416.957,11.136,-5395.954,11.796,-822.108,4.120,0.002,0.002,-0.742,0.001,12417.361,1.231,60.766,18.614
2021-04-15 17:10:03.640831,6.6,-564.817,2.137,-5655.029,11.366,-5606.468,11.453,-599.458,2.590,-0.001,0.002,-0.813,0.001,12425.772,1.341,83.203,20.229
2021-04-15 17:10:13.321215,6.7,-395.867,1.374,-5790.720,8.406,-5804.920,9.041,-442.912,1.049,0.005,0.001,-0.865,0.000,12434.419,1.010,32.846,16.343
2021-04-15 17:10:23.493969,6.8,-285.801,1.009,-5887.316,12.419,-5946.085,11.136,-323.486,1.456,0.008,0.002,-0.902,0.000,12442.688,1.444,-21.084,22.589
2021-04-15 17:10:33.481654,6.9,-201.925,0.711,-5937.390,10.217,-6076.017,10.202,-233.733,0.605,0.014,0.002,-0.930,0.000,12449.064,0.979,-106.817,19.819
