DateTime,Disp,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.std
2021-03-23 15:02:10.556675,0.0,-4902.436,13.959,-4911.132,11.256,-1355.477,7.510,-1324.691,6.008,-0.571,0.002,-0.003,0.002,12493.735,1.080,-22.089,16.637
2021-03-23 15:04:08.547036,0.5,-2435.775,10.951,-2415.830,6.972,-3720.988,12.990,-3891.693,8.204,0.222,0.003,0.015,0.002,12464.286,1.490,150.759,5.444
2021-03-23 15:05:00.545950,1.0,-589.069,2.569,-633.513,2.461,-5411.818,11.241,-5880.616,11.213,0.805,0.001,0.034,0.002,12515.018,0.950,513.242,19.961
2021-03-23 15:05:32.510106,1.5,-104.450,0.503,-153.964,0.442,-5808.974,6.967,-6484.976,6.446,0.959,0.000,0.050,0.001,12552.364,1.246,725.516,13.266
2021-03-23 15:06:05.440914,2.0,-60.462,0.585,-88.317,0.522,-5750.799,23.259,-6654.049,22.269,0.976,0.000,0.070,0.004,12553.627,1.674,931.106,45.391
2021-03-23 15:06:40.372363,2.5,-49.798,0.502,-67.952,0.536,-5660.392,15.833,-6758.047,15.937,0.981,0.000,0.086,0.003,12536.189,1.164,1115.808,31.624
2021-03-23 15:07:32.940819,3.0,-40.189,0.543,-55.115,0.362,-5558.311,6.862,-6853.364,6.454,0.985,0.000,0.102,0.001,12506.979,0.981,1309.979,13.187
2021-03-23 15:08:00.228121,3.5,-32.789,0.619,-46.352,0.462,-5432.555,7.900,-6946.601,7.606,0.987,0.000,0.120,0.001,12458.297,1.442,1527.609,15.700
2021-03-23 15:08:37.186479,4.0,-28.610,0.604,-40.608,0.448,-5301.765,14.607,-7035.808,13.689,0.989,0.000,0.139,0.002,12406.789,1.594,1746.040,28.168
2021-03-23 15:09:17.108842,4.5,-25.079,0.395,-34.889,0.605,-5069.242,16.771,-6973.916,15.346,0.990,0.000,0.157,0.003,12103.126,3.008,1914.483,32.257
2021-03-23 15:09:47.979039,5.0,-23.173,0.337,-31.524,0.366,-4165.520,7.684,-5966.850,9.453,0.989,0.000,0.176,0.001,10187.066,10.221,1809.681,13.999
