DateTime,Memo,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCO_TM_OPLEV_TILT_CRS_INMON.std
2021-03-23 14:31:07.310837,9.0,-90.811,0.546,-6249.617,6.214,-6125.558,6.009,-112.421,0.435,-0.008,0.001,-0.968,0.000,12578.406,1.142,145.670,11.817
2021-03-23 14:31:37.296088,8.5,-412.307,1.779,-6045.155,9.034,-5693.326,10.263,-408.949,0.874,-0.028,0.002,-0.869,0.000,12559.736,1.089,348.471,18.135
2021-03-23 14:32:03.488945,8.0,-1728.603,5.196,-4852.281,9.231,-4350.544,7.308,-1579.343,5.033,-0.052,0.001,-0.471,0.001,12510.771,1.132,352.476,9.638
2021-03-23 14:33:02.926168,7.5,-4248.885,8.563,-2453.102,5.327,-2094.686,5.148,-3698.352,7.684,-0.073,0.002,0.272,0.001,12495.023,1.448,-192.116,7.024
2021-03-23 14:33:50.889154,7.0,-6114.220,7.511,-752.013,2.044,-587.458,1.646,-5095.092,7.274,-0.094,0.001,0.787,0.001,12548.783,1.583,-854.573,13.437
2021-03-23 14:34:38.767784,6.5,-6803.801,11.951,-219.663,0.594,-164.195,0.722,-5393.294,11.729,-0.117,0.002,0.939,0.000,12580.953,1.090,-1355.039,23.229
2021-03-23 14:35:05.625413,6.0,-7038.297,18.575,-123.299,0.365,-91.998,0.434,-5331.081,18.365,-0.138,0.003,0.966,0.000,12584.674,1.017,-1675.915,36.648
2021-03-23 14:35:35.833807,5.5,-7167.507,4.911,-89.516,0.658,-71.571,0.435,-5242.043,4.420,-0.155,0.001,0.974,0.000,12570.637,1.204,-1907.519,9.499
2021-03-23 14:36:08.175620,5.0,-7335.010,9.305,-68.162,0.522,-58.827,0.607,-5093.039,8.980,-0.179,0.001,0.980,0.000,12555.037,1.255,-2232.636,18.032
2021-03-23 14:36:34.111576,4.5,-7462.872,7.835,-53.600,0.534,-50.216,0.529,-4970.418,7.846,-0.199,0.001,0.983,0.000,12537.107,1.103,-2489.069,15.984
2021-03-23 14:36:59.446962,4.0,-7555.552,13.968,-44.683,0.538,-45.540,0.440,-4819.899,13.103,-0.219,0.002,0.986,0.000,12465.674,1.496,-2736.510,27.019
2021-03-23 14:37:28.839974,3.5,-7332.051,17.468,-40.303,0.631,-42.048,0.486,-4484.870,16.812,-0.239,0.003,0.986,0.000,11899.271,3.135,-2848.926,33.718
2021-03-23 14:37:58.309510,3.0,-6002.690,11.366,-38.573,0.476,-40.962,0.426,-3501.390,7.783,-0.261,0.001,0.983,0.000,9583.615,12.471,-2503.689,14.969
2021-03-23 14:41:45.624533,9.5,-59.304,0.398,-6073.841,12.431,-6366.854,12.515,-71.345,0.435,0.024,0.002,-0.979,0.000,12571.343,1.547,-280.972,24.915
2021-03-23 14:43:26.431724,10.0,-53.264,0.496,-5943.146,8.531,-6497.521,8.226,-59.197,0.581,0.045,0.001,-0.982,0.000,12553.127,1.386,-548.442,16.864
2021-03-23 14:44:32.965091,10.5,-48.527,0.440,-5807.642,10.204,-6616.970,10.074,-49.973,0.404,0.065,0.002,-0.984,0.000,12523.111,1.365,-807.881,20.120
2021-03-23 14:45:11.607733,11.0,-45.355,0.598,-5646.120,9.580,-6736.039,9.067,-44.651,0.392,0.087,0.001,-0.986,0.000,12472.166,1.254,-1090.623,18.805
2021-03-23 14:45:50.168965,11.5,-43.287,0.503,-5432.658,13.385,-6799.051,12.782,-41.007,0.432,0.111,0.002,-0.986,0.000,12316.002,1.454,-1368.673,26.555
2021-03-23 14:46:20.374512,12.0,-41.231,0.516,-4913.080,12.709,-6431.669,14.819,-39.304,0.423,0.133,0.002,-0.986,0.000,11425.285,3.958,-1520.517,27.248
2021-03-23 14:46:43.590428,12.5,-39.183,0.441,-3537.210,7.454,-4819.002,8.011,-37.492,0.504,0.152,0.001,-0.982,0.000,8432.887,9.678,-1283.483,12.308
2021-03-23 14:47:43.645714,12.5,-39.026,0.306,-3537.753,5.855,-4823.642,7.222,-37.772,0.467,0.152,0.001,-0.982,0.000,8438.192,4.650,-1287.144,12.166
2021-03-23 14:48:18.517337,12.5,-39.340,0.421,-3545.404,4.915,-4813.759,9.732,-37.691,0.413,0.150,0.001,-0.982,0.000,8436.194,9.528,-1270.003,12.129
