DateTime,Memo,K1:VIS-MCE_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_PIT_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_PIT_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_YAW_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_YAW_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_SUM_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_SUM_INMON.std,K1:VIS-MCE_TM_OPLEV_TILT_CRS_INMON.mean,K1:VIS-MCE_TM_OPLEV_TILT_CRS_INMON.std
2021-03-24 12:12:27.376717,9.0,-7812.706,19.278,-9563.692,18.058,-69.407,0.396,-64.038,0.466,-0.985,0.000,-0.100,0.002,17509.844,3.269,1745.617,37.196
2021-03-24 12:13:12.301040,8.5,-7496.399,9.633,-9914.756,10.222,-49.737,0.640,-47.178,0.375,-0.989,0.000,-0.138,0.001,17508.070,2.060,2415.797,19.967
2021-03-24 12:13:33.093725,8.0,-7210.710,20.393,-10216.814,19.880,-36.330,0.560,-36.499,0.454,-0.992,0.000,-0.172,0.002,17500.354,2.323,3006.273,40.147
2021-03-24 12:14:08.510109,7.5,-6884.516,20.034,-10550.996,19.847,-28.047,0.413,-28.635,0.543,-0.994,0.000,-0.210,0.002,17492.195,2.632,3667.069,39.496
2021-03-24 12:14:36.207881,7.0,-6555.271,12.094,-10880.837,13.434,-22.971,0.472,-22.136,0.583,-0.995,0.000,-0.247,0.001,17481.215,2.432,4324.731,25.642
2021-03-24 12:16:01.946934,9.5,-7945.830,37.349,-9331.828,36.355,-121.123,0.455,-94.609,0.673,-0.975,0.000,-0.081,0.004,17493.391,2.597,1359.484,73.909
2021-03-24 12:16:29.448701,10.0,-5528.168,10.494,-6720.925,5.107,-2307.145,6.546,-2709.758,3.101,-0.419,0.001,-0.046,0.001,17265.996,2.056,1595.370,7.984
2021-03-24 12:16:52.606966,10.5,-254.438,0.842,-264.818,0.725,-8519.670,8.763,-8395.867,6.690,0.940,0.000,-0.008,0.001,17434.793,2.091,-113.422,15.150
2021-03-24 12:17:18.339047,11.0,-87.293,0.721,-71.505,0.524,-8386.906,37.822,-8875.645,37.084,0.982,0.000,0.029,0.004,17421.348,2.366,472.950,74.971
2021-03-24 12:17:44.460239,11.5,-51.018,0.557,-51.168,0.555,-7914.769,16.974,-9301.495,16.516,0.988,0.000,0.080,0.002,17318.449,1.665,1386.876,33.338
2021-03-24 12:18:08.178219,12.0,-36.881,0.582,-38.051,0.435,-7785.018,26.646,-9571.929,27.059,0.991,0.000,0.102,0.003,17431.877,2.436,1788.082,53.738
2021-03-24 12:18:33.393579,12.5,-29.176,0.631,-31.013,0.563,-7505.759,24.905,-9879.035,25.147,0.993,0.000,0.136,0.003,17444.984,3.276,2375.115,49.642
2021-03-24 12:18:56.832704,13.0,-24.908,0.668,-25.813,0.528,-7197.110,14.775,-10187.567,15.457,0.994,0.000,0.171,0.002,17435.398,2.745,2991.362,30.153
2021-03-24 12:19:18.969551,13.5,-20.060,0.593,-20.128,0.389,-6870.698,13.334,-10508.863,13.835,0.995,0.000,0.209,0.002,17419.748,2.286,3638.232,27.182
