DateTime,Memo,K1:VIS-PR2_SF_LVDTINF_GAS_INMON.mean,K1:VIS-PR2_SF_LVDTINF_GAS_INMON.std,K1:VIS-PR2_BF_LVDTINF_GAS_INMON.mean,K1:VIS-PR2_BF_LVDTINF_GAS_INMON.std,K1:VIS-PR2_SF_LVDTINF_GAS_OUTPUT.mean,K1:VIS-PR2_SF_LVDTINF_GAS_OUTPUT.std,K1:VIS-PR2_BF_LVDTINF_GAS_OUTPUT.mean,K1:VIS-PR2_BF_LVDTINF_GAS_OUTPUT.std,K1:VIS-PR2_BF_LVDTINF_V1_INMON.mean,K1:VIS-PR2_BF_LVDTINF_V1_INMON.std,K1:VIS-PR2_BF_LVDTINF_V2_INMON.mean,K1:VIS-PR2_BF_LVDTINF_V2_INMON.std,K1:VIS-PR2_BF_LVDTINF_V3_INMON.mean,K1:VIS-PR2_BF_LVDTINF_V3_INMON.std,K1:VIS-PR2_BF_LVDTINF_H1_INMON.mean,K1:VIS-PR2_BF_LVDTINF_H1_INMON.std,K1:VIS-PR2_BF_LVDTINF_H2_INMON.mean,K1:VIS-PR2_BF_LVDTINF_H2_INMON.std,K1:VIS-PR2_BF_LVDTINF_H3_INMON.mean,K1:VIS-PR2_BF_LVDTINF_H3_INMON.std,K1:VIS-PR2_BF_LVDTINF_V1_OUTPUT.mean,K1:VIS-PR2_BF_LVDTINF_V1_OUTPUT.std,K1:VIS-PR2_BF_LVDTINF_V2_OUTPUT.mean,K1:VIS-PR2_BF_LVDTINF_V2_OUTPUT.std,K1:VIS-PR2_BF_LVDTINF_V3_OUTPUT.mean,K1:VIS-PR2_BF_LVDTINF_V3_OUTPUT.std,K1:VIS-PR2_BF_LVDTINF_H1_OUTPUT.mean,K1:VIS-PR2_BF_LVDTINF_H1_OUTPUT.std,K1:VIS-PR2_BF_LVDTINF_H2_OUTPUT.mean,K1:VIS-PR2_BF_LVDTINF_H2_OUTPUT.std,K1:VIS-PR2_BF_LVDTINF_H3_OUTPUT.mean,K1:VIS-PR2_BF_LVDTINF_H3_OUTPUT.std,K1:VIS-PR2_BF_DAMP_L_INMON.mean,K1:VIS-PR2_BF_DAMP_L_INMON.std,K1:VIS-PR2_BF_DAMP_T_INMON.mean,K1:VIS-PR2_BF_DAMP_T_INMON.std,K1:VIS-PR2_BF_DAMP_V_INMON.mean,K1:VIS-PR2_BF_DAMP_V_INMON.std,K1:VIS-PR2_BF_DAMP_R_INMON.mean,K1:VIS-PR2_BF_DAMP_R_INMON.std,K1:VIS-PR2_BF_DAMP_P_INMON.mean,K1:VIS-PR2_BF_DAMP_P_INMON.std,K1:VIS-PR2_BF_DAMP_Y_INMON.mean,K1:VIS-PR2_BF_DAMP_Y_INMON.std,K1:VIS-PR2_IM_OSEMINF_V1_INMON.mean,K1:VIS-PR2_IM_OSEMINF_V1_INMON.std,K1:VIS-PR2_IM_OSEMINF_V2_INMON.mean,K1:VIS-PR2_IM_OSEMINF_V2_INMON.std,K1:VIS-PR2_IM_OSEMINF_V3_INMON.mean,K1:VIS-PR2_IM_OSEMINF_V3_INMON.std,K1:VIS-PR2_IM_OSEMINF_H1_INMON.mean,K1:VIS-PR2_IM_OSEMINF_H1_INMON.std,K1:VIS-PR2_IM_OSEMINF_H2_INMON.mean,K1:VIS-PR2_IM_OSEMINF_H2_INMON.std,K1:VIS-PR2_IM_OSEMINF_H3_INMON.mean,K1:VIS-PR2_IM_OSEMINF_H3_INMON.std,K1:VIS-PR2_IM_OSEMINF_V1_OUTPUT.mean,K1:VIS-PR2_IM_OSEMINF_V1_OUTPUT.std,K1:VIS-PR2_IM_OSEMINF_V2_OUTPUT.mean,K1:VIS-PR2_IM_OSEMINF_V2_OUTPUT.std,K1:VIS-PR2_IM_OSEMINF_V3_OUTPUT.mean,K1:VIS-PR2_IM_OSEMINF_V3_OUTPUT.std,K1:VIS-PR2_IM_OSEMINF_H1_OUTPUT.mean,K1:VIS-PR2_IM_OSEMINF_H1_OUTPUT.std,K1:VIS-PR2_IM_OSEMINF_H3_OUTPUT.mean,K1:VIS-PR2_IM_OSEMINF_H3_OUTPUT.std,K1:VIS-PR2_IM_OSEMINF_H3_OUTPUT.mean,K1:VIS-PR2_IM_OSEMINF_H3_OUTPUT.std,K1:VIS-PR2_IM_DAMP_L_INMON.mean,K1:VIS-PR2_IM_DAMP_L_INMON.std,K1:VIS-PR2_IM_DAMP_T_INMON.mean,K1:VIS-PR2_IM_DAMP_T_INMON.std,K1:VIS-PR2_IM_DAMP_Y_INMON.mean,K1:VIS-PR2_IM_DAMP_Y_INMON.std,K1:VIS-PR2_IM_DAMP_R_INMON.mean,K1:VIS-PR2_IM_DAMP_R_INMON.std,K1:VIS-PR2_IM_DAMP_P_INMON.mean,K1:VIS-PR2_IM_DAMP_P_INMON.std,K1:VIS-PR2_IM_DAMP_Y_INMON.mean,K1:VIS-PR2_IM_DAMP_Y_INMON.std,K1:VIS-PR2_TM_OPLEV_LEN_SEG1_INMON.mean,K1:VIS-PR2_TM_OPLEV_LEN_SEG1_INMON.std,K1:VIS-PR2_TM_OPLEV_LEN_SEG2_INMON.mean,K1:VIS-PR2_TM_OPLEV_LEN_SEG2_INMON.std,K1:VIS-PR2_TM_OPLEV_LEN_SEG3_INMON.mean,K1:VIS-PR2_TM_OPLEV_LEN_SEG3_INMON.std,K1:VIS-PR2_TM_OPLEV_LEN_SEG4_INMON.mean,K1:VIS-PR2_TM_OPLEV_LEN_SEG4_INMON.std,K1:VIS-PR2_TM_OPLEV_LEN_PIT_OUT16.mean,K1:VIS-PR2_TM_OPLEV_LEN_PIT_OUT16.std,K1:VIS-PR2_TM_OPLEV_LEN_YAW_OUT16.mean,K1:VIS-PR2_TM_OPLEV_LEN_YAW_OUT16.std,K1:VIS-PR2_TM_OPLEV_LEN_SUM_OUT16.mean,K1:VIS-PR2_TM_OPLEV_LEN_SUM_OUT16.std,K1:VIS-PR2_TM_OPLEV_TILT_SEG1_INMON.mean,K1:VIS-PR2_TM_OPLEV_TILT_SEG1_INMON.std,K1:VIS-PR2_TM_OPLEV_TILT_SEG2_INMON.mean,K1:VIS-PR2_TM_OPLEV_TILT_SEG2_INMON.std,K1:VIS-PR2_TM_OPLEV_TILT_SEG3_INMON.mean,K1:VIS-PR2_TM_OPLEV_TILT_SEG3_INMON.std,K1:VIS-PR2_TM_OPLEV_TILT_SEG4_INMON.mean,K1:VIS-PR2_TM_OPLEV_TILT_SEG4_INMON.std,K1:VIS-PR2_TM_OPLEV_TILT_PIT_OUT16.mean,K1:VIS-PR2_TM_OPLEV_TILT_PIT_OUT16.std,K1:VIS-PR2_TM_OPLEV_TILT_YAW_OUT16.mean,K1:VIS-PR2_TM_OPLEV_TILT_YAW_OUT16.std,K1:VIS-PR2_TM_OPLEV_TILT_SUM_OUT16.mean,K1:VIS-PR2_TM_OPLEV_TILT_SUM_OUT16.std
2021-01-29 20:30:02.989646,8000,-6070.792,16.036,4167.054,4.160,1954.795,5.164,1726.847,1.724,-1716.911,1.122,-377.378,1.795,2123.720,2.101,-2042.007,0.445,-3016.064,0.300,782.611,0.332,737.260,1.348,-1099.001,2.207,-2774.331,2.572,-2455.403,0.547,-3246.080,0.375,-988.864,0.404,781.716,0.476,705.094,0.314,-1045.347,1.996,691.994,0.829,-4969.700,2.031,-5158.133,0.404,-2.208,0.455,-0.663,0.537,-0.453,0.594,-2.749,0.306,-0.657,0.480,-1.558,0.389,559.092,0.001,584.647,0.002,553.463,0.002,540.394,0.001,586.650,0.001,586.650,0.001,540.394,0.001,-16.585,0.001,6786.484,0.012,187.856,0.017,52.493,0.009,6786.484,0.012,1.749,12.999,1.768,33.379,2.542,13.145,-1.703,15.217,-48.756,2.598,237.058,5.061,0.486,0.013,-1.908,7.404,1.292,36.466,-2.000,27.450,-1.087,19.067,890.333,2.635,76.861,2.476,3.035,0.014
2021-01-29 20:30:58.130987,9000,-6060.535,10.342,4164.803,2.426,1951.492,3.330,1725.914,1.005,-1714.538,2.235,-377.741,1.038,2124.417,1.025,-2041.419,0.475,-3016.392,0.652,783.179,0.939,734.407,2.687,-1099.448,1.276,-2775.184,1.254,-2454.681,0.584,-3246.490,0.814,-989.555,1.142,780.895,0.900,705.489,0.649,-1046.731,1.383,693.665,1.064,-4966.713,3.945,-5158.426,0.410,-2.302,0.641,-0.561,0.348,-0.131,0.542,-2.744,0.520,-0.594,0.375,-1.774,0.361,559.092,0.002,584.646,0.001,553.463,0.001,540.395,0.001,586.650,0.001,586.650,0.001,540.395,0.001,-16.585,0.001,6786.486,0.010,187.846,0.010,52.490,0.015,6786.486,0.010,0.616,10.784,-2.974,22.916,0.674,8.299,-3.252,9.894,-61.757,1.865,240.430,2.285,0.556,0.010,-2.512,7.653,0.778,26.437,-1.360,15.809,0.402,12.018,887.942,6.053,78.063,1.104,3.056,0.011
2021-01-29 20:32:02.111477,10000,-6097.316,3.853,4174.367,0.826,1963.336,1.241,1729.877,0.342,-1716.606,0.901,-374.109,0.446,2119.181,1.311,-2040.526,0.589,-3015.901,0.497,784.202,0.821,736.894,1.083,-1094.984,0.548,-2768.775,1.604,-2453.583,0.724,-3245.876,0.621,-990.799,0.999,779.582,0.926,705.254,0.411,-1042.278,0.515,692.781,1.880,-4961.526,2.848,-5158.064,0.458,-2.345,0.593,-0.720,0.488,-0.335,0.580,-2.549,0.420,-0.446,0.306,-1.439,0.356,559.097,0.002,584.647,0.001,553.463,0.002,540.391,0.001,586.647,0.001,586.647,0.001,540.391,0.001,-16.584,0.001,6786.464,0.008,187.857,0.015,52.467,0.012,6786.464,0.008,-1.116,9.135,0.101,23.567,0.870,9.070,-2.108,10.871,-63.526,2.190,245.797,2.725,0.499,0.024,-2.573,9.177,4.355,33.113,-1.666,20.620,0.163,17.358,875.236,3.029,69.813,3.441,3.085,0.015
2021-01-29 20:33:51.815716,11000,-6134.983,9.953,4183.570,2.500,1975.464,3.205,1733.691,1.036,-1723.289,0.636,-371.171,1.343,2117.146,1.438,-2041.735,0.686,-3016.178,0.294,782.891,0.701,744.926,0.765,-1091.373,1.651,-2766.284,1.760,-2455.069,0.843,-3246.223,0.368,-989.204,0.853,781.326,0.910,705.241,0.293,-1037.567,1.138,691.561,1.032,-4969.268,2.820,-5158.248,0.524,-2.185,0.316,-0.502,0.475,-0.282,0.532,-2.481,0.543,-0.649,0.420,-1.594,0.383,559.094,0.001,584.644,0.002,553.464,0.001,540.394,0.002,586.646,0.001,586.646,0.001,540.394,0.002,-16.581,0.001,6786.492,0.008,187.832,0.012,52.478,0.010,6786.492,0.008,0.614,17.931,1.707,37.517,0.382,9.866,0.619,16.478,-72.961,1.192,243.187,3.287,0.507,0.025,0.661,8.551,2.334,48.285,-3.062,29.785,-1.104,21.735,920.870,11.507,75.661,2.532,2.877,0.027
2021-01-29 20:34:15.444554,12000,-6093.218,16.783,4173.368,4.582,1962.016,5.404,1729.463,1.899,-1716.861,1.643,-374.771,1.587,2119.609,1.959,-2040.989,0.354,-3016.181,0.454,783.831,0.459,737.199,1.975,-1095.798,1.951,-2769.299,2.398,-2454.152,0.435,-3246.226,0.567,-990.348,0.558,780.154,0.531,705.344,0.323,-1042.622,2.042,691.903,0.938,-4962.830,1.591,-5158.425,0.473,-2.309,0.448,-0.575,0.492,-0.102,0.627,-2.683,0.531,-0.443,0.352,-1.560,0.502,559.093,0.001,584.644,0.002,553.467,0.002,540.393,0.002,586.647,0.002,586.647,0.002,540.393,0.002,-16.583,0.001,6786.483,0.011,187.814,0.013,52.490,0.009,6786.483,0.011,-0.988,10.790,0.477,26.685,0.769,7.505,-2.994,13.258,-62.740,1.545,233.921,3.390,0.572,0.012,-1.340,8.040,-0.018,36.270,-4.229,23.682,-2.281,15.092,853.166,4.026,38.504,1.130,3.298,0.019
2021-01-29 20:34:50.273421,13000,-6129.931,4.105,4182.513,1.350,1973.838,1.322,1733.253,0.559,-1721.020,1.290,-371.678,0.382,2116.259,0.553,-2041.079,0.288,-3015.393,0.322,783.884,0.386,742.199,1.551,-1091.996,0.470,-2765.198,0.677,-2454.263,0.354,-3245.241,0.403,-990.412,0.470,780.217,0.429,704.654,0.253,-1038.321,0.588,690.976,0.745,-4964.171,2.599,-5157.801,0.356,-2.483,0.547,-0.598,0.492,-0.253,0.650,-2.644,0.322,-0.363,0.594,-1.476,0.605,559.093,0.002,584.646,0.001,553.464,0.002,540.395,0.001,586.647,0.002,586.647,0.002,540.395,0.001,-16.584,0.001,6786.463,0.017,187.848,0.014,52.489,0.014,6786.463,0.017,-0.592,14.742,0.157,39.538,0.717,12.454,0.734,18.462,-48.134,3.336,257.908,2.434,0.570,0.016,4.017,10.800,-0.547,44.698,-2.153,28.149,-2.258,22.318,886.819,3.154,69.672,1.758,2.980,0.012
2021-01-29 20:36:06.146723,14000,-6090.711,23.633,4173.214,6.285,1961.209,7.610,1729.399,2.605,-1716.540,2.672,-375.621,2.306,2119.273,2.478,-2041.249,0.325,-3015.488,0.377,784.309,0.408,736.814,3.212,-1096.843,2.834,-2768.888,3.033,-2454.471,0.400,-3245.360,0.471,-990.930,0.496,780.049,0.435,704.498,0.404,-1042.962,2.975,690.113,1.145,-4962.068,1.504,-5158.452,0.261,-2.645,0.389,-0.825,0.542,-0.430,0.679,-2.792,0.455,-0.338,0.473,-1.607,0.404,559.095,0.001,584.646,0.002,553.468,0.002,540.394,0.001,586.651,0.001,586.651,0.001,540.394,0.001,-16.586,0.001,6786.495,0.017,187.822,0.016,52.485,0.008,6786.495,0.017,1.500,16.203,4.145,36.484,3.646,9.066,-0.241,19.393,-51.572,2.992,247.381,0.919,0.624,0.019,3.507,9.726,3.953,45.874,-5.375,33.642,-1.281,22.851,895.435,2.878,95.082,2.250,2.905,0.005
2021-01-29 20:36:21.691783,16000,-6102.549,9.940,4176.075,2.361,1965.021,3.201,1730.585,0.978,-1718.784,0.450,-374.522,1.006,2118.949,1.931,-2041.588,0.496,-3015.507,0.285,783.601,0.567,739.511,0.540,-1095.491,1.236,-2768.491,2.364,-2454.887,0.609,-3245.384,0.357,-990.068,0.689,780.770,0.704,704.560,0.344,-1041.480,1.294,690.349,1.482,-4965.123,2.504,-5158.128,0.299,-2.614,0.432,-0.438,0.462,-0.477,0.543,-2.763,0.478,-0.551,0.342,-1.737,0.412,559.096,0.001,584.646,0.002,553.465,0.002,540.394,0.001,586.651,0.001,586.651,0.001,540.394,0.001,-16.584,0.001,6786.500,0.007,187.838,0.015,52.477,0.008,6786.500,0.007,-0.335,10.671,0.155,30.448,-1.484,12.153,-1.407,11.160,-52.565,2.548,244.722,2.617,0.598,0.013,1.734,9.649,-1.196,34.307,-1.627,24.354,-1.206,18.657,931.091,7.270,107.064,2.582,2.847,0.024
2021-01-29 20:37:54.456311,17000,-6109.117,4.262,4177.777,0.942,1967.136,1.372,1731.290,0.390,-1720.889,1.315,-374.736,0.759,2118.957,0.321,-2042.379,0.389,-3015.168,0.887,783.282,0.682,742.042,1.581,-1095.754,0.933,-2768.500,0.393,-2455.860,0.478,-3244.960,1.109,-989.681,0.829,781.570,0.558,703.964,0.916,-1040.727,0.668,688.624,1.497,-4968.879,2.364,-5158.251,0.511,-2.366,0.568,-0.666,0.449,-0.327,0.626,-2.841,0.411,-0.354,0.564,-1.649,0.436,559.094,0.002,584.643,0.001,553.465,0.002,540.397,0.001,586.648,0.001,586.648,0.001,540.397,0.001,-16.586,0.001,6786.451,0.011,187.821,0.012,52.479,0.012,6786.451,0.011,-0.276,15.853,-2.564,35.577,-4.403,11.001,-4.249,15.910,-64.246,4.312,242.128,2.238,0.568,0.019,-3.217,13.756,-0.213,42.084,-1.972,25.720,0.375,18.466,889.204,3.019,94.572,5.083,2.921,0.007
2021-01-29 20:38:50.208434,18000,-6133.583,1.723,4184.244,0.875,1975.014,0.555,1733.970,0.363,-1721.190,0.896,-371.158,0.516,2115.347,1.177,-2040.978,0.440,-3015.819,0.774,784.116,0.788,742.404,1.076,-1091.356,0.635,-2764.082,1.441,-2454.138,0.541,-3245.774,0.968,-990.695,0.958,779.969,0.713,704.971,0.765,-1037.668,0.261,690.734,1.773,-4963.013,3.027,-5158.333,0.521,-2.176,0.417,-0.589,0.588,-0.265,0.462,-2.349,0.365,-0.648,0.441,-1.424,0.537,559.091,0.001,584.645,0.002,553.461,0.001,540.395,0.001,586.653,0.002,586.653,0.002,540.395,0.001,-16.586,0.001,6786.512,0.012,187.855,0.013,52.485,0.008,6786.512,0.012,-2.418,10.867,-0.321,24.308,1.930,7.998,-1.115,9.916,-44.817,6.041,241.837,1.327,0.437,0.010,5.956,6.361,2.611,29.577,-1.038,20.734,0.585,14.803,936.456,6.109,107.486,2.956,2.843,0.018
