# Filename:      /opt/rtcds/userapps/trunk/vis/common/scripts/healthcheck/sensor/noises/TypeA_BF_GAS.txt
# Plot type:     Power spectrum
# Output Format: XY  Zero time  
# Channels:                    A                       Conversion
# Column 1   K1:VIS-ETMY_BF_LVDTINF_GAS_OUT16(REF0)    Magnitude
# Column 2   K1:VIS-ETMY_BF_LVDTINF_GAS_OUT16(REF1)    Magnitude
# Column 3   K1:VIS-ETMY_BF_LVDTINF_GAS_OUT16          Magnitude
# Data:
0            2.0403209    0.25509849   3.587976    
0.00097656198 3.8680422    0.51671249   9.5731926   
0.001953124  3.9327245    0.42381841   7.6134152   
0.0029296861 3.647342     0.28617895   6.0745945   
0.0039062479 2.7891388    0.27059448   5.4518342   
0.0048828102 1.9608527    0.24344622   4.9695821   
0.0058593722 1.6753491    0.20991442   4.7911077   
0.0068359338 1.4656813    0.20488355   4.9137573   
0.0078124958 1.2950791    0.17905594   4.3441987   
0.0087890578 1.1023922    0.17158765   4.3302708   
0.0097656203 0.87820143   0.18315348   4.6182652   
0.010742182  0.94911051   0.1682025    4.4648643   
0.011718744  1.0613865    0.16958711   4.5962644   
0.012695306  1.0002246    0.17339016   5.0013108   
0.013671868  0.8862986    0.16385032   4.4724574   
0.01464843   0.80619407   0.15147805   4.1836605   
0.015624992  0.79759318   0.15817429   4.0741296   
0.016601553  0.71344334   0.13667965   4.152359    
0.017578116  0.56057584   0.14035085   3.881561    
0.018554678  0.64580435   0.13462062   3.8380022   
0.019531241  0.66104919   0.10962235   4.485477    
0.020507801  0.72813004   0.11251171   4.3837328   
0.021484364  0.64140564   0.11005905   3.9330223   
0.022460926  0.54853863   0.10924549   3.6085436   
0.023437489  0.49190661   0.11330365   3.8196161   
0.024414049  0.48001313   0.11650993   4.4614553   
0.025390612  0.49392286   0.10689075   4.4309978   
0.026367174  0.43135551   0.10603585   3.6474934   
0.027343735  0.42011216   0.098606706  3.9675457   
0.028320298  0.41217586   0.091318898  3.9309378   
0.02929686   0.50858372   0.084431544  3.9564028   
